Designator,Mid X,Mid Y,Rotation,Layer
BZ1,160.7,-135.8,270.0,top
C1,154.3625,-140.9875,270.0,top
C2,154.9625,-144.0875,0.0,top
C3,151.8625,-138.6875,0.0,top
C4,118.1,-141.7875,270.0,top
C5,148.71282,-146.4875,270.0,top
C6,154.41282,-146.4875,90.0,top
C7,134.8,-96.8375,90.0,top
C8,143.95,-141.925,270.0,top
C9,130.4,-142.1,270.0,top
D1,157.2,-92.3,0.0,top
D2,115.65,-117.8,180.0,top
D3,116.149492,-108.0,180.0,top
D4,116.0625,-113.0,180.0,top
J1,151.28,-81.98,0.0,top
J10,163.7,-147.7,0.0,top
J2,171.091992,-98.524622,180.0,bottom
J3,123.42,-82.03,0.0,top
J4,129.611992,-118.319622,270.0,bottom
J5,129.621992,-114.444622,90.0,top
J6,110.131992,-98.524622,180.0,bottom
J7,131.4,-130.4,90.0,top
J8,142.2,-130.3,90.0,top
J9,115.3,-93.9,180.0,top
JP1,146.9675,-137.6125,270.0,top
JP2,109.4,-145.8825,0.0,top
JP3,135.3,-146.07,0.0,top
JP4,131.37,-107.6375,90.0,top
JP7,121.7,-145.97,0.0,top
R1,109.575,-141.6875,180.0,top
R10,124.3,-104.4375,180.0,top
R11,124.3,-106.0375,180.0,top
R12,124.4,-107.7375,180.0,top
R13,135.425,-141.8,180.0,top
R14,135.425,-140.2,180.0,top
R15,140.025,-138.5,0.0,top
R16,139.875,-145.8,0.0,top
R17,136.3,-99.2375,180.0,top
R18,136.3,-100.8375,180.0,top
R19,136.3,-102.4375,180.0,top
R2,109.575,-140.0875,180.0,top
R20,136.3,-104.0375,180.0,top
R21,136.3,-105.6375,180.0,top
R22,121.75,-141.885,180.0,top
R23,121.725,-140.185,180.0,top
R24,126.4,-138.6,0.0,top
R25,126.325,-145.8,0.0,top
R26,153.6,-92.3,180.0,top
R27,125.2,-125.9,90.0,top
R28,119.8,-117.8,0.0,top
R29,122.2,-125.9,90.0,top
R3,114.1,-138.2625,0.0,top
R31,120.211992,-108.0,0.0,top
R33,114.32,-130.0,180.0,top
R34,114.32,-133.0,180.0,top
R35,119.825,-113.0,0.0,top
R4,114.0,-145.6875,0.0,top
R5,124.275,-96.4375,180.0,top
R6,124.275,-98.0375,180.0,top
R7,124.275,-99.6375,180.0,top
R8,124.275,-101.2375,180.0,top
R9,124.275,-102.8375,180.0,top
U1,150.3125,-141.95,180.0,top
U2,114.075,-142.025,180.0,top
U4,130.075,-100.6375,270.0,top
U5,140.0125,-142.175,180.0,top
U6,126.4375,-142.225,180.0,top
Y1,151.3625,-145.6875,0.0,top
